노래에 너무 치우쳐져 있는 것 같다.,5
다른 평에서 어떤점이 아쉬웠는지 너무 잘 알겠으나 보는것과 안보는건 차원이 다릅니다그냥 보세요 정말 추천드려요,10
뮤지컬로도 영화로도 큰 감동을 주는 영화,10
영화 끝나고나서 왜이리 눈물이 흐르지..?,10
너무 울어서 머리가 아파요 모든 독립운동가분들 감사드립니다,10
12.31 모두 다 새해 복 많이 받으세요영웅 영화 보여줘서 감사해요 또 보러 가요 또 보고 싶어서 가까운데에서 볼 수 있겠네요 뮤지컬 너무 좋아해요 너무 슬펐고 마지막에 많이 울었어요 영화를 보면 행복하다 나혼자 있을 때는 제일 행복한 시간이 있어요  ,10
책으로 먼저 봤다가 영화로 또 보니까 새롭고 너무 재밌네요 거짓말 안 보태고 그때 영화 자리가 꽉 차 있었는데 절반이 오열하면서 울었던 것 같아요... 저도 눈물 참느라 입술 깨물면서 봤던 기억이 납니다ㅎㅎ,10
너무재밌어요ㅜㅜ꼭보세요,10
시즌1만큼 재미있었다.,10
웃음과 진중. 둘 다 잡기에는 부족하였다.,7
서사는 너무 평범했어요. 만약 3D 보지 않았더라면 매우 지루했을듯....,6
"나오는 장비들은 오오~~ 하면서 감탄을 나오게 했다. 그러나 뻔한 스토리와 중국인의 등장, 별 내용없는 요소들로 3시간을 버렸고 인류의 배신자였던 제이크는 또다시 자신의 부족을 버리고 가족을 선택한다는 모습을 보여주면서 다른 부족의 희생을 요구했다.",2
김고은 보컬 소름주의,8
일단 노래 하나 만으로 볼 가치가 있는 영화,10
초반부엔 호러 요소도 있고 박진감 넘치다가 후반부에 80년대 감성이 너무 들어갔음.,7
멋진 인생을 사신 많은 선조들에게 부끄럽지 않은 후손이 되고 싶습니다. 안의사의 유언이 꼭 이루어지길 간절히 바랍니다.,8
마흔넘어 극장에서 펑펑 울었네요 나문희님 미웡,8
아주 높음  아주 괘안음 좋아,10
FBI는 연방수사국인데 왜 국외임무를 맡죠? 국외임무를 맡는건 CIA아닌가요?,6
2조원이 넘는 제작비를 영상미와 음악에 올인한 영화.스토리가 유치해도 영상미와 음악이 모든 단점을 커버함.,10
우아한 경찰을 영화에서 본거는 처음이라,10
스포하는애들 뭐야 짜증나1편보다 쌍둥이 훨씬재밌음!노튼이 앤디를 죽임 앤디 쌍둥이동생이 007에게 의뢰하고 앤디역할함,10
가슴이 웅장해지고 배우들 다 연기며 노래며 잘하심,10
"오래 걸린 이유가 있네요 영상미, cg 진짜 최고라고 할수 있습니다!! 2g로 봤는데도 제가 물속으로 들어가는느낌이었어요:) 아바타2는 1처럼 사이다가 많지는 않지만 3을 위한 그런 느낌스,,, 그래도 너무 좋았습니다 가족에 대한 사랑,, 교훈이 있어요 아바타 사랑해요",10
잊지 않겠습니다  대한독립만세,10
"지인의 추천으로 아이맥스로 봤습니다. 지방이라서 스크린이 작아서 아쉬웠지만, 아이맥스 강추합니다, 쵝오. 3시간이 3쿼터로 나눠집니다.스토리는 헐리웃 대표적인 영화이며, 3편이 기대됩니다.다만 마스크와 안경을 착용하여 혈압환자들은 계속 앉아있어야 하므로 조심하셔야합니다.",9
"강력 추천, 진짜 꼭 보세요!!",10
이거 나름 나쁘지 않았음. 모쏠들이 조심해야 할것과 풀어나가야 할것들이 적절히 배치 되어 있음. 모쏠들아 이거라도 봐라평점은 7점정도인데 평점관리 차원에서 10점드림,10
별 기대 안하고 보니 더 재밌게 봤어요너무 재밌게 봐서 한번더 볼거에요!,10
최근 한국영화중 잴낫다,10
라이브에서 녹음된 음원이랑 바뀔때 음향이 뭔가 티가 나긴 하는데여 그래도 이정도 뮤지컬영화면 엄청 잘 나온 거 같은데!!  저는 넘 잘 봤슴미다 제작자분들 배우분들 진짜 고생 많으셨네요,10
너무 재밋엇어요ㅠㅠㅠ영상미가 미쳣음그 스토리는 사실 약간 뻔한 클리셰인데 영상미가 그걸 다 이겨버림… 3시간 내내 지루하지않고 잘봣음…. 바다 표현이 미쳤움ㅋㅋ 휴양지간거같 힐링됫음..,10
평범한 일상을 순간순간 느끼며 즐길것.,10
울고 싶을때 보는 영화입니다 그저 가슴이 먹먹합니다저의 인생영화입니다,10
신비아파트 극장판 추천,7
우리는 결코 안중근을 잊어서는 안 됍니다,10
뮤지컬 영화는 처음인데  중간중간  노래가  감동을주고 가슴뜨겁게 울컥 눈시울을  적시네요 재미있습니다 슬픈 아픈 역사지만   위대한  독립투사들의  희생에  다시한번  감사한 마음을 드립니다 ,10
3시간 쉴틈없이 넋놓고 보았다,10
아무 정보 없이 봤는데 엄청 신나네요 ㅋㅋ 놀이기구 타는 줄,10
국뽕이.차오르는 영화엿다,10
기대 이상으로 좋았지만 러닝타임이 너무 김,10
카톡릭 신자로써 김대건 안드레아 신부님 존경하고 그분의 스토리를 알고 있는 저도 갑자기 급격하게 스킵되는 부분에서 뭐지? 라는 생각이 들었어요. 스토리의 맥락도 없고 마지막에 김대건 안드레아 신부님의 시신이 어떻게 수습이 되는 지 등 감성적이고 중요했던 내용들은 쏙 빼고 기대 많이 했는데 실망 스럽네요. 배우들 연기는 대박인데 스토리 이렇게 밖에 안되는 거였나요. 쓸데 없는 부분에서 CG 넣지 맑고 스토리 부터 탄탄히 만들지 그러셨어요? 돈이 아까워서가 아니라 김대건 안드레아 신부님의 일대를 너무 중구난방으로 스토리 쓴게 너무 속상하네요,4
진짜  인간 싫어지게 만드는 영화 !!!  인간들이제일 문제다 !!  많은 교훈을 주고  자식을 사랑하는 마음은  인간 동물 나비족 다 똑같다 !!!  다 소중해 !!  동물을 아낄줄 알고 생명을 아낄줄 알아야 함을 자식들에게 가르치게 하는 영화 영상미 말해 뭐해 ...  다들 꼭 보시길 !!!  ,10
올해 흥행1위가 미국인 마동석이 웅얼대고 돼지가 윙윙 파리마냥 휘둘러대는 돼지 족발 펀지였지...이영화는 줄거리가 중요한게 아니였고이영화가 끝나고 못일어서고 앉아 계시는 관객 분들이 너무많았다 그리고 본인은 감정적으로 너무 힘들었다영화 쿠키 영상이나 보려고 기다리는 모습의 관객이 아니라 나처럼 일어서것이 힘들어 보이는 관객들이 많았다 작품 후반에 약40여분간 몰아치는 영상과 음악 너무 가슴이 메어지게 아팟다몇몇 악플보면 JK필름 신파라고 말하는 남들 까기 좋아하는 오타쿠들의 소시오패스같은 공감대없는 개소리는 차라리 쪽발이 감성의 소유자의 비난이라 보는게 맞는것같다감동 소소한 유머 배우들의 노래 배우의 캐스팅 감독의 의도 원작의 흉륭함한국영화 국뽕을 빼고도 올해 본 영화중 최고였다 ,10
최고라는 말 밖에...,10
너무너무 감명깊게 봤어요 이건 꼭 많은 사람이봤으면 합니다,10
한국인이라면 꼭 봐야하는 영화인거 같아요!!전 오늘 영화 보면서 눈물 광광.. 마스크 젖을 정도로.. 흘리면서 봤어요.. ㅜ (개인적으로 제가 원래 눈물 많고 감수성 풍부한 편..),10
내가 이걸 3시간이나봄? 개 재밌게봄 시간 가는줄 모름,10
걍 봅시다도산공원도가보고기부도 좀하고당시을 상상만으로도 난 두려웠을듯진심 존경을 ,10
영화인 줄 알고 신났었는데 차이나였구나 모르고 볼뻔했네,1
미친 cg 나비족의 눈물 다큐멘터리보는 줄.,10
크리스마스 시즌에만 느낄 수 있는 특유의 몽글몽글하고 따뜻한 감성.,7
눈물을 참으려고 애썼습니다. 수많은 독립운동하신 모든 분께 감사드립니다.,10
b급 삼류 영화....,1
ㅠㅠㅠ존잼이에요!CG도 CG지만 진짜 보는 내내 너무 예쁘고 너무 갬동적,10
나문희 배우님 장면에서는 안 울 수가 없었다.영화 보는 내내 온 몸에 전율이 흐름,10
"류준열 유해진 배우뿐만 아니라 다른 조연배우분들의 연기, 스토리, 연출 모두 너무 좋았습니다",10
동립 투사 분들로 관객을 웃길려고 노력하는 영화... 꽁트+갑분 신파+허접한 cg의 환상의 콜라보..  ,5
아 씨 다른건 다 됐고 남주 얼굴 뭐야 지존잘 왓더 그냥 내꺼 당장 일본 날라가서 보고싶다 꺙.. ㅋㅌㅋ아 왜 죽여요 남주 세드엔딩이라서 약간에 아쉬움ㅠㅠㅠ꼭 보세요 완전 설레고 풋풋함이 담겨잏어서 좋았음,10
중국 같음 방 학교 다 공산국가 냄새 폴폴짱구도 망해간다예전의 짱구가 아니다.,1
최고였어요 3편이 너무 기대됩니다,10
